id_pessoa,id_empresa
p81210,e7797
p43070,e294
p51014,e8108
p72450,e8520
p26671,e1490
p65625,e9349
p85500,e349
p14767,e7334
p84667,e5650
p84266,e1092
p80516,e9594
p22797,e4772
p49155,e8887
p67949,e6909
p36939,e9717
p75612,e4657
p25700,e8669
p34273,e5148
p72901,e9000
p73992,e2515
p69870,e6607
p78922,e9444
p17271,e5395
p73682,e6190
p8767,e529
p85159,e7911
p27705,e3597
p61048,e9444
p69792,e1478
p54108,e5754
p8447,e855
p20238,e4061
p65904,e8400
p25383,e7801
p97295,e887
p30885,e8479
p70802,e7853
p76342,e7616
p97363,e1827
p80157,e5328
p12063,e1958
p70494,e7882
p6590,e2611
p24487,e5230
p89976,e3402
p47893,e3730
p15105,e6833
p71633,e9420
p98320,e6344
p70903,e8066
p75112,e1439
p45434,e57
p35742,e3312
p64808,e9613
p22707,e1355
p47907,e8071
p28227,e6186
p97197,e3363
p47125,e210
p90608,e5671
p86585,e5192
p28079,e6091
p39687,e3641
p7669,e8675
p37052,e603
p48892,e3494
p5934,e531
p81675,e4217
p16180,e9112
p12127,e8836
p49047,e3370
p4047,e4656
p78792,e9282
p657,e6198
p26316,e3442
p42024,e7553
p30787,e3768
p58121,e9577
p97638,e5791
p41621,e8423
p41279,e9845
p35444,e3300
p56954,e2830
p74956,e2351
p59379,e1234
p68830,e5355
p39753,e4972
p93611,e7842
p63076,e6328
p20977,e6028
p33387,e8222
p81622,e2955
p74361,e2382
p35197,e713
p55532,e2784
p64085,e2266
p43318,e577
p894,e7514
p32316,e6869
p68581,e2767
p27175,e7835
p58996,e9173
p17184,e4105
p41907,e3100
p42516,e8497
p83766,e3789
p14615,e7421
p9861,e538
p38080,e6547
p80527,e8695
p72006,e8269
p5764,e895
p33619,e8363
p82992,e5025
p17912,e3501
p51305,e5603
p54009,e3266
p36014,e2179
p24250,e2545
p15634,e617
p99988,e6223
p28097,e2026
p37585,e170
p15708,e1307
p28761,e5389
p95561,e9347
p81197,e9565
p73478,e1288
p21557,e624
p91428,e7965
p1109,e5163
p58697,e6482
p33814,e8503
p8338,e3815
p12986,e626
p50158,e3225
p86740,e6497
p40694,e4114
p65013,e3244
p97463,e5091
p86787,e9462
p95424,e360
p7350,e2549
p15728,e4243
p75356,e3578
p15058,e3136
p2654,e4469
p52707,e9503
p52058,e5183
p40982,e4240
p22522,e7789
p42244,e5616
p68808,e2504
p43278,e1688
p80219,e4924
p58107,e7501
p91669,e1772
p86536,e9148
p28772,e8777
p19656,e8391
p67386,e6564
p32685,e1385
p12473,e2640
p98425,e5326
p52289,e3003
p34920,e5389
p74880,e2578
p25557,e9690
p62305,e6093
p26420,e5414
p36274,e5
p58002,e9524
p37045,e5451
p51608,e7287
p48573,e8417
p77908,e5183
p36759,e1531
p29176,e6803
p12264,e5723
p2115,e8212
p70624,e6153
p98881,e3763
p49315,e9006
p99719,e4906
p53947,e2629
p23653,e9575
p90110,e4153
p82183,e9602
p54304,e8843
p10056,e1158
p959,e5210
p59932,e3978
p11808,e9296
p39210,e6490
p70874,e218
p97894,e9693
p6326,e5702
p92578,e9540
p47032,e106
p68780,e3347
p3019,e9022
p98402,e9567
p40573,e3113
p53122,e5729
p88388,e5084
p61594,e9064
p91025,e2026
p69961,e4615
p62954,e251
p48353,e7117
p60358,e432
p58949,e9876
p870,e8105
p51561,e3241
p60108,e1953
p57986,e855
p63395,e6638
p24942,e1104
p93253,e7623
p34349,e9476
p70740,e9279
p11690,e2641
p97269,e1111
p58355,e1305
p59618,e6931
p5258,e6984
p72359,e7918
p99357,e4962
p46560,e7780
p7738,e9509
p31964,e4276
p19013,e5447
p96897,e2689
p53978,e1248
p48195,e8838
p89089,e547
p21236,e2652
p81755,e5612
p35467,e9639
p34124,e7765
p28647,e7195
p986,e3771
p14489,e7195
p6227,e6860
p49269,e4965
p1040,e911
p78652,e7679
p88624,e9099
p62215,e7910
p23070,e6074
p75374,e7853
p3055,e697
p85792,e7375
p47014,e8298
p27855,e4808
p42692,e1240
p29912,e9612
p34315,e8803
p28890,e6757
p54914,e4613
p12783,e73
p53860,e2159
p2472,e6236
p97411,e122
p94942,e9086
p64979,e9753
p1514,e1955
p68723,e9977
p1727,e8762
p50726,e3378
p11703,e1278
p13116,e9280
p13842,e517
p83251,e4245
p39750,e3503
p87212,e7825
p15673,e9964
p17388,e6285
p95392,e7197
p10340,e1184
p86971,e5987
p60738,e7972
p34986,e777
p90169,e2671
p14720,e4476
p4397,e1801
p66520,e9790
p41968,e4419
p49246,e7065
p17846,e50
p93539,e8621
p94667,e190
p13495,e3586
p19583,e4856
p65033,e4730
p63422,e9567
p7185,e464
p31100,e819
p73520,e9662
p49730,e5791
p27590,e6413
p86063,e9815
p78031,e9979
p56684,e528
p9155,e9358
p6826,e2431
p79301,e7407
p27973,e2292
p52205,e1912
p3968,e7057
p14676,e1468
p13530,e8021
p4877,e358
p95219,e9001
p77667,e1736
p27911,e7605
p15916,e9746
p93820,e2511
p66527,e502
p14138,e5714
p8780,e605
p84076,e955
p73274,e9540
p13079,e2894
p58643,e2735
p62582,e8985
p54372,e9788
p11888,e9525
p27717,e4158
p87844,e8641
p79096,e7434
p96786,e5313
p83162,e3266
p90829,e2714
p28019,e6097
p49478,e9459
p10631,e9395
p78054,e9248
p7948,e880
p96476,e7832
p54576,e4735
p74081,e4981
p8646,e9124
p4467,e2840
p93177,e5511
p63381,e3432
p95244,e3459
p11243,e7836
p90977,e6146
p15839,e1717
p35391,e6302
p54036,e7325
p31354,e6337
p48049,e5577
p64769,e3708
p69501,e4325
p25421,e8644
p20437,e3971
p36664,e2737
p11766,e4132
p11521,e1784
p11255,e8348
p61491,e4071
p99009,e3914
p4028,e3412
p32781,e585
p95448,e5393
p45769,e6788
p53237,e7144
p18319,e6712
p20251,e7974
p65185,e5656
p41239,e1621
p94957,e9429
p8269,e443
p16415,e2422
p93129,e537
p32158,e1125
p38221,e1688
p69683,e7520
p54187,e592
p65389,e3279
p69385,e3456
p99668,e7426
p95617,e6478
p83790,e352
p50963,e3724
p2818,e4050
p46410,e5702
p42042,e3442
p87902,e849
p80626,e6599
p59756,e692
p4037,e4834
p37750,e6800
p81493,e3966
p53582,e3786
p93019,e7585
p4351,e1259
p9898,e4545
p71793,e5900
p32509,e4086
p45990,e3231
p5081,e7727
p64487,e681
p93495,e808
p64740,e4272
p70241,e0
p632,e5273
p53488,e7954
p92597,e1348
p93444,e9944
p40087,e7955
p83171,e3504
p75111,e1451
p666,e2579
p99170,e9342
p49374,e5000
p49769,e4821
p41590,e3597
p97704,e2742
p96505,e607
p37123,e8916
p10407,e3465
p7960,e4161
p98872,e1050
p25607,e6102
p36478,e7325
p133,e4541
p87124,e4124
p57145,e9950
p76314,e2972
p10151,e7140
p36337,e9846
p50740,e6111
p99703,e3775
p21054,e5666
p13563,e1868
p40139,e4644
p51382,e8289
p69311,e8297
p35410,e1427
p33449,e4447
p10013,e784
p87589,e2942
p24076,e2749
p15786,e3671
p79994,e479
p48810,e1658
p10014,e7936
p93840,e3381
p42093,e4379
p99009,e1668
p63478,e1840
p71879,e368
p64586,e2712
p98663,e5686
p51266,e4867
p34492,e7304
p72700,e7573
p61339,e9099
p10274,e1436
p53463,e1910
p14255,e2124
p4997,e501
p26659,e7750
p69694,e2699
p68562,e9909
p89942,e6288
p77597,e9289
p5067,e5967
p75289,e8880
p44782,e8603
p45607,e4519
p55481,e1109
p81963,e4377
p71352,e2346
p54790,e827
p24339,e3897
p89053,e4997
p89670,e6350
p61843,e2762
p48734,e3147
p1649,e5225
p37874,e4306
p16766,e1227
p36200,e9552
p38034,e3688
p34290,e996
p43342,e6404
p70459,e7099
p9337,e9806
p49365,e466
p46274,e5104
p75396,e2970
p99718,e3701
p79983,e1194
p41852,e651
p75091,e8167
p10651,e4219
p93202,e9433
p12425,e5055
p66493,e3605
p77280,e1383
p88779,e7085
p49661,e1264
p88038,e2304
p20355,e3370
p46527,e7311
p56385,e6112
p68467,e9326
p84770,e4230
p61442,e2312
p62340,e7537
p73792,e9623
p64100,e5668
p48824,e9746
p7803,e2053
p74065,e5514
p57491,e1818
p85347,e155
p25912,e9378
p84187,e2199
p73772,e5334
p74815,e7596
p9858,e1244
p22025,e3080
p30960,e3911
p94808,e8171
p77546,e9424
p24496,e6742
p18310,e9371
p60455,e5357
p48512,e282
p20795,e2515
p58470,e4269
p32034,e3433
p17309,e1455
p21748,e538
p63004,e6460
p82678,e5166
p44693,e6154
p81165,e7881
p36788,e3879
p3200,e8721
p46040,e3745
p84275,e5652
p22898,e4799
p72613,e4032
p93215,e6306
p40217,e2972
p12832,e7332
p68877,e6517
p9735,e4363
p54178,e1379
p34857,e6169
p33154,e1291
p44448,e7840
p54021,e3355
p14759,e6398
p86779,e6662
p45798,e6450
p2799,e4066
p54558,e4002
p4451,e9414
p17389,e2200
p96937,e9661
p87889,e3314
p71949,e7518
p95669,e4064
p72627,e4302
p51,e2922
p30697,e1217
p66224,e6840
p74017,e464
p690,e5002
p58547,e5438
p3890,e892
p14130,e5015
p27482,e5186
p78861,e1050
p31408,e8958
p1396,e6828
p92346,e4798
p81853,e1789
p95935,e6515
p28134,e9445
p6191,e6332
p77896,e1783
p73242,e5780
p68307,e7180
p8820,e5519
p74724,e7322
p12261,e7802
p84046,e1690
p35420,e8900
p45332,e6687
p16260,e7600
p85519,e9115
p80915,e1103
p52108,e9040
p65437,e1698
p75766,e176
p83690,e9381
p91415,e490
p19443,e2041
p53106,e3743
p17711,e3805
p89824,e5055
p60682,e3454
p55162,e1746
p47928,e944
p73891,e6992
p25887,e5717
p3516,e3322
p77516,e216
p22225,e3231
p71882,e5540
p26293,e2006
p58773,e8354
p8186,e7897
p53563,e8397
p52115,e9874
p67862,e3529
p39238,e4127
p64369,e9739
p34672,e7375
p49737,e1303
p54875,e174
p70650,e6464
p94389,e6371
p74689,e5880
p63458,e8647
p43082,e3879
p13697,e2913
p10613,e9092
p11922,e1314
p24102,e8514
p88735,e3511
p76947,e6454
p1702,e5098
p21586,e8257
p82650,e6490
p63284,e5322
p31698,e4763
p40599,e1923
p84847,e6127
p47827,e9404
p41138,e6463
p93375,e5281
p11337,e2399
p29231,e6650
p98685,e9694
p71940,e9195
p65755,e6247
p97893,e2339
p89889,e1423
p33850,e1155
p32228,e1237
p48529,e8269
p44041,e7922
p29434,e7433
p86003,e4844
p14501,e7010
p37429,e6636
p74901,e3410
p71648,e6190
p81904,e2904
p6584,e5803
p88944,e1468
p80579,e8864
p70971,e3162
p75937,e7415
p22680,e3846
p44489,e9094
p36753,e7865
p96042,e6852
p73526,e4661
p46366,e3969
p91184,e2453
p19308,e9018
p31572,e4856
p31584,e1858
p26992,e9763
p53004,e7679
p93232,e4391
p69161,e6378
p35883,e7467
p42054,e1249
p92943,e7102
p12727,e5826
p73483,e78
p23436,e9946
p95355,e1844
p98759,e8002
p84519,e7430
p79184,e6889
p12451,e6454
p79796,e4293
p79822,e8218
p81559,e8592
p26702,e6650
p45228,e5475
p89927,e3731
p40017,e1300
p6103,e6160
p28708,e3735
p45201,e4046
p86193,e3429
p65388,e3957
p90462,e3788
p60576,e50
p73303,e9976
p41928,e2942
p63726,e7429
p53903,e2542
p24025,e1916
p21122,e635
p32739,e5216
p95957,e6089
p47583,e3673
p63243,e2360
p93982,e5550
p49895,e4293
p99355,e3526
p89465,e8388
p16887,e5664
p8654,e874
p69081,e2395
p84100,e5946
p81883,e6074
p85050,e9707
p39439,e4449
p48187,e3554
p79014,e8698
p41436,e6960
p37474,e1926
p61396,e8885
p63953,e2316
p35946,e7919
p82010,e3927
p4224,e9405
p82331,e6305
p45702,e2225
p45672,e6931
p61488,e2662
p93255,e6824
p24445,e6229
p41714,e6733
p51574,e2121
p57738,e6901
p98869,e7910
p23623,e1360
p39765,e859
p58937,e7372
p20077,e74
p47813,e9683
p55453,e6551
p57059,e9614
p49839,e8969
p38870,e3265
p9792,e346
p80868,e3303
p5661,e5094
p48204,e2546
p7323,e1387
p75476,e5668
p96942,e384
p39541,e1176
p47651,e9215
p42596,e4922
p74517,e4803
p84645,e5274
p91194,e3774
p44911,e7063
p37119,e9161
p72802,e2578
p28811,e372
p24807,e4376
p36505,e5486
p47659,e5484
p712,e7794
p44181,e2556
p56463,e1609
p46123,e2066
p22671,e6474
p49466,e4191
p18971,e4540
p51488,e5333
p40222,e708
p12555,e4064
p60293,e8684
p83224,e1340
p6769,e2040
p41184,e8433
p4750,e6136
p6022,e9210
p72596,e416
p19328,e7
p47747,e3213
p32977,e3113
p10190,e7904
p24353,e4925
p71994,e4959
p96705,e7517
p70424,e5659
p45728,e5128
p92667,e5472
p43308,e7910
p43097,e814
p54986,e1264
p6420,e6655
p9163,e7694
p8905,e4771
p71635,e1890
p67477,e958
p1509,e3588
p10492,e6271
p79225,e6939
p12604,e8505
p84849,e7755
p57701,e3962
p84711,e4127
p7463,e8866
p26862,e3229
p86334,e8048
p91994,e4466
p57207,e249
p3155,e2235
p42903,e1789
p67612,e8461
p43780,e1766
p90904,e1448
p37319,e5964
p55160,e5618
p87392,e9302
p11560,e1801
p47906,e3986
p80730,e7156
p49248,e7156
p87505,e1444
p7818,e6136
p21737,e7555
p87237,e5810
p14802,e2761
p21130,e8481
p47045,e9304
p99758,e9101
p50138,e4635
p18039,e9857
p16710,e2844
p63669,e5190
p44211,e1713
p8634,e2519
p96355,e3867
p85509,e7643
p72697,e4802
p29422,e7816
p94360,e7818
p17362,e7008
p79409,e3991
p82622,e2525
p73744,e4318
p67237,e9820
p83064,e4473
p47070,e7149
p61805,e540
p73905,e5099
p62762,e9940
p83794,e7460
p93908,e637
p91915,e4798
p80091,e9501
p76289,e6342
p91214,e9537
p5127,e4056
p4194,e6969
p7068,e2399
p92668,e4306
p10931,e7200
p8861,e2554
p32303,e7334
p56788,e5698
p19143,e459
p48199,e8692
p10103,e7614
p97537,e9035
p22123,e6668
p13805,e5664
p75631,e2810
p42835,e8238
p59660,e398
p33191,e4803
p98103,e6546
p54589,e8809
p81972,e7684
p14890,e6704
p79068,e7308
p36487,e3319
p94378,e4804
p75018,e282
p99770,e3861
p51216,e8681
p60684,e7946
p54400,e9952
p77675,e8981
p81188,e8930
p75650,e3754
p66497,e8233
p24762,e6341
p53963,e4136
p96084,e9129
p93134,e734
p33770,e9051
p42877,e6146
p80845,e5198
p60304,e7946
p4699,e3945
p69045,e867
p22216,e5632
p37904,e245
p14638,e4001
p38805,e8106
p36853,e9868
p17301,e746
p48550,e7353
p35534,e824
p31122,e1783
p6648,e6983
p96355,e6188
p98465,e9967
p71551,e5045
p14938,e5207
p50510,e1111
p58161,e3327
p90882,e632
p1416,e7598
p90316,e3923
p85221,e4282
p51562,e3096
p30136,e8502
p72791,e2921
p34299,e1585
p98703,e8244
p91651,e1100
p10807,e3572
p16253,e2812
p31593,e4242
p89162,e7709
p9529,e9947
p92683,e2888
p19550,e3974
p10706,e4156
p83931,e5334
p26988,e7897
p44600,e5550
p71613,e2197
p39466,e493
p21382,e9003
p78040,e7990
p34179,e3217
p16473,e9362
p54565,e510
p10226,e3629
p92881,e1362
p41841,e7263
p84251,e950
p40250,e788
p29262,e300
p46504,e8733
p66786,e4163
p62892,e7275
p81434,e8106
p2398,e2965
p18563,e93
p31638,e9473
p45456,e8968
p69817,e6206
p88176,e5727
p71817,e850
p90965,e5156
p91220,e2303
p82499,e1482
p70463,e368
p37817,e9397
p93002,e9368
p29290,e3771
p80222,e7182
p88309,e9069
p30043,e3928
p33774,e4739
p25301,e535
p80951,e7557
p58165,e5579
p18500,e6775
p89251,e7250
p95602,e2801
p81379,e7373
p73634,e8448
p58778,e9856
p82494,e60
p51480,e9132
p93953,e8355
p84419,e6179
p69834,e5631
p65370,e4295
p46165,e2553
p75239,e212
p55358,e6897
p91049,e3045
p1019,e6580
p26598,e735
p49837,e9798
p52832,e7813
p57638,e6210
p51961,e1906
p56223,e6561
p82595,e8673
p96870,e6821
p51939,e6157
p66362,e4365
p75448,e3437
p76393,e4645
p94598,e1385
p37373,e6163
p60819,e9474
p58471,e4575
p8022,e7154
p97789,e3558
p24286,e6604
p24806,e5982
p82151,e2216
p51246,e1357
p13964,e5720
p55572,e8897
p34188,e2876
p14818,e9529
p55123,e6987
p90921,e440
p5663,e2355
p31038,e722
p79755,e9549
p77672,e6475
p11219,e9756
p71558,e8547
p2378,e3009
p84833,e7943
p90129,e434
p79333,e4458
p60123,e3309
p73555,e7643
p97338,e1433
p15779,e2922
p71549,e3081
p86174,e2937
p50709,e6171
p85560,e350
p55955,e3605
p48132,e2867
p18220,e3093
p17296,e9635
p99407,e9597
p54379,e3930
p67791,e7685
p17930,e7663
p50106,e4706
p92358,e9930
p46249,e8240
p16347,e6924
p67668,e653
p64534,e700
p67716,e4388
p9668,e3817
p45335,e7805
p90661,e5272
p15269,e1025
p29139,e4722
p39903,e5550
p12754,e7717
p5377,e1384
p95752,e1883
p97378,e6615
p46092,e6685
p94950,e7423
p13465,e2133
p16034,e4696
p52349,e8783
p65805,e8060
p9638,e6326
p14687,e5635
p28548,e4696
p85911,e7478
p53570,e6949
p66184,e8313
p36304,e6111
p82099,e9901
p90773,e503
p46529,e627
p47137,e6289
p13689,e4780
p85938,e8423
p75258,e5942
p41789,e9913
p92939,e5945
p72240,e4589
p18058,e2038
p52849,e4304
p70425,e6415
p68703,e9160
p55393,e4635
p81267,e4751
p17936,e5250
p28425,e9522
p86216,e87
p23824,e9749
p93785,e9046
p26158,e6305
p37037,e3259
p97212,e5864
p62669,e1605
p93997,e721
p52231,e6317
p83961,e7147
p61461,e6138
p12524,e5249
p28082,e5355
p20619,e5376
p60011,e4628
p68216,e8577
p81895,e4968
p43805,e1607
p92316,e3067
p71331,e6458
p28519,e8912
p42589,e9659
p47988,e8034
p7272,e2591
p1767,e2420
p63907,e3095
p61443,e2897
p11988,e2410
p48184,e5110
p86497,e8722
p45808,e6319
p84780,e2930
p74818,e3513
p12504,e2673
p53992,e8755
p85241,e3238
p33836,e8171
p51063,e6432
p70310,e8599
p8835,e7197
p47144,e8379
p59788,e3410
p25710,e5238
p8208,e2071
p6775,e2989
p98531,e9277
p22805,e703
p35020,e9892
p57333,e5035
p7599,e7429
p3766,e2575
p70132,e2317
p21181,e8734
p50803,e7747
p75738,e7012
p27772,e9011
p30162,e3546
p88813,e6444
p55235,e9547
p99900,e8159
p68121,e5903
p96447,e2044
p63370,e4831
p54434,e803
p35331,e1982
p44309,e9680
p58654,e1031
p43471,e212
p51801,e6663
p40886,e7656
p88275,e3856
p69003,e8595
p55166,e1749
p15542,e2774
p63161,e7666
p26548,e1845
p72330,e5056
p33225,e1084
p50538,e4475
p71722,e6001
p3254,e6895
p30474,e6936
p6698,e4915
p97765,e1121
p58467,e3688
p87850,e4881
p93734,e1842
p87449,e2538
p46831,e9784
p52046,e8775
p58126,e270
p58743,e9257
p83252,e9686
p38223,e5041
p79238,e1459
p2646,e251
p55023,e8131
p16559,e4760
p53582,e1208
p70993,e7988
p15053,e5236
p20401,e7143
p33682,e1996
p9674,e1702
p53203,e8458
p88336,e3394
p92597,e6354
p62355,e73
p16237,e7563
p16778,e4806
p15625,e6962
p39999,e4501
p77720,e4961
p81525,e2711
p99533,e863
p43833,e6501
p25945,e5441
p44172,e3942
p99536,e1085
p14083,e3563
p75724,e9581
p11606,e976
p91247,e2500
p26833,e2210
p25692,e5510
p33889,e2623
p50490,e8990
p70594,e4972
p55303,e8500
p94379,e7620
p81956,e2690
p23166,e3931
p54378,e9172
p39844,e1591
p36796,e2540
p66543,e29
p93029,e4548
p2922,e1504
p24432,e5674
p97814,e9926
p20180,e7389
p53016,e9107
p89417,e8583
p20697,e8078
p11059,e3078
p50150,e1697
p63093,e5141
p21111,e9698
p79266,e8755
p70677,e7970
p65190,e3441
p64682,e7369
p93197,e513
p92989,e621
p87352,e2115
p69321,e812
